id,name,postalCode,address,status,websiteUrl,lat,lng,openedOn,closedOn,movedToId,category,genres,relatedEntities,notes,sources
107,小豆島ネイチャークラブ ミニ地球館,761-4151,香川県小豆郡土庄町肥土山1271-1,open,,,,,,,博物館,自然,,,
108,小豆島銚子渓自然動物園 お猿の国,761-4151,香川県小豆郡土庄町肥土山字蛙子3387-10,open,http://www.osaru-no-kuni.sakura.ne.jp/,,,,,,動物園,猿,日本リゾート株式会社,,
109,豊島横尾館,761-4661,香川県小豆郡土庄町豊島家浦2359,open,https://benesse-artsite.jp/art/teshima-yokoohouse.html,,,,,,美術館,,株式会社ベネッセホールディングス,,
110,針工場,761-4661,香川県小豆郡土庄町豊島家浦字中村1841-2,open,https://benesse-artsite.jp/art/needle-factory.html,,,,,,美術館,,株式会社ベネッセホールディングス,,
111,心臓音のアーカイブ,761-4662,香川県小豆郡土庄町豊島唐櫃2801-1,open,https://benesse-artsite.jp/art/boltanski.html,,,,,,美術館,,株式会社ベネッセホールディングス,,
112,豊島美術館,761-4662,香川県小豆郡土庄町豊島唐櫃607,open,https://benesse-artsite.jp/art/teshima-artmuseum.html,,,,,,美術館,,株式会社ベネッセホールディングス,,
113,小豆島尾崎放哉記念館,761-4106,香川県小豆郡土庄町本町甲1082,open,http://ww8.tiki.ne.jp/~kyhosai/index.htm,,,,,,博物館,文学,「放哉」南郷庵友の会,,
114,善通寺宝物館,765-8506,香川県善通寺市善通寺町3-3-1,open,https://zentsuji.com/yuisho/homotsukan/,,,,,,美術館,,,,
115,灸まん美術館,765-0052,香川県善通寺市大麻町338,open,https://kyuman.art/,,,,,,美術館,"美術, 和田邦坊",株式会社こんぴら堂,,
116,陸上自衛隊善通寺駐屯地資料館（乃木館）,765-0002,香川県善通寺市南町2-1-1 陸上自衛隊善通寺駐屯地内,open,https://www.mod.go.jp/gsdf/mae/14b/content/08-link/nogi/nogisan.html,,,,,,博物館,"歴史, 軍事, 乃木希典",陸上自衛隊,,
117,善通寺市美術館,765-0013,香川県善通寺市文京町2-1-1,open,https://www.city.zentsuji.kagawa.jp/soshiki/56/zentsujimuseum.html,,,,,,美術館,美術,善通寺市,,
118,大西忠夫記念館,765-0013,香川県善通寺市文京町2-1-1 善通寺市美術館内,open,https://www.city.zentsuji.kagawa.jp/soshiki/56/oonishitadao-index.html,,,,,,美術館,美術,善通寺市,,
119,善通寺市立郷土館,765-0013,香川県善通寺市文京町2-1-4 善通寺市総合会館 ZENキューブ 2F,open,https://www.city.zentsuji.kagawa.jp/soshiki/50/kyoudokan.html,,,,,,郷土博物館,歴史,善通寺市,,
120,香川県護国神社 史料館,765-0013,香川県善通寺市文京町4-5-5,open,,,,,,,博物館,"歴史, 軍事",,,
121,香川県満濃池森林公園 森林学習展示館,769-0303,香川県仲多度郡まんのう町七箇字三田4109-24,open,https://mannou-mori.com/,,,,,,博物館,材木,香川県,,
